"id","amount","fractions_count","paid_amount","account_number","bank_name","branch","payment_screenshot","wallet_address","transaction_id","status","reject_reason","created_at","updated_at","user_id","user_note","admin_ip","gst_number","pay_mode","actioned_by_admin_id","gst_details_state","addtional_fractional","is_discount_given"
112494,4780.48,1,5641.00,"","","","5a23a088f42618c729f186fa31c82e9e.jpg","0x49702f17b8fa0c75a818fbb9320da674efcfecda","pay_u_617270006817","accepted",NULL,"2026-06-21 04:32:13.665","2026-06-21 05:42:17.555",211136,"1 Node buy","103.78.170.221","",1,4,NULL,0,False
112495,38243.87,8,45128.00,"","","","a903fc176d8d1178656c693100626d01.jpg","0xdbd6858df1c80efb0b14ea19c9f442801b55caf1","pay_i_653892734833","accepted",NULL,"2026-06-21 04:42:57.312","2026-06-21 05:43:03.794",200769,"","103.78.170.221","",1,4,NULL,0,False
112496,9560.97,2,11282.00,"","","","a0e44df6fc173e8133ed9f2129652ea9.jpg","0xaec7bdf705a7c7bccd74fb85ffc7811a1a9e890d","pay_i_653898839667","accepted",NULL,"2026-06-21 05:20:33.854","2026-06-21 05:44:04.808",211308,"Pramod","103.78.170.221","",1,4,NULL,0,False
112497,4780.48,1,5645.00,"","","","bd79398a9166104e0b6b0777ae10cd22.jpg","0x0b677ca14c6607d3c39d36a2bc3159f579897a7a","pay_i_002735859132","accepted",NULL,"2026-06-21 05:21:44.447","2026-06-21 05:44:26.992",211309,"","103.78.170.221","",1,4,NULL,0,False
112498,4780.48,1,5640.97,"","","","41d9634355b7dfaaacb15f20ddf980e5.jpg","0xc5763f0dfea491badbc7bfca1bae3b4a8a01a4f9","pay_i_617286144928","accepted",NULL,"2026-06-21 05:42:15.806","2026-06-21 05:44:50.556",210728,"PLEASE ALLOW FRACTION ","103.78.170.221","",1,4,NULL,0,False
112499,9561.00,2,11284.00,"","","","919a7528f507cb39d5f91b1d2c8889b4.jpg","0x222f70eac5783df4c13bf90936a2486edc272c68","pay_u_617290782121","accepted",NULL,"2026-06-21 05:43:25.184","2026-06-21 05:45:34.004",210692,"2 node fraction buy mst blockchain please check and issue my fraction ","103.78.170.221","",1,4,NULL,0,False
112500,4780.50,1,5641.00,"","","","d785aab4b99db2401d2023b79fecc061.jpg","0xdff5b98bbf0c10daeb14d1f853988d835c696a0b","pay_u_617277282467","accepted",NULL,"2026-06-21 05:48:22.095","2026-06-21 06:02:28.904",181781,"","103.78.170.221","",1,4,NULL,0,False
112501,47807.59,10,56410.00,"","","","88d42a19abf982fdc1b56c251de6357c.jpg","0xb06ed669f1d39385ace992af025c7ed731f98ec0","pay_i_617261868541","accepted",NULL,"2026-06-21 05:55:18.269","2026-06-21 06:03:29.644",211310,"Suraj K","103.78.170.221","",1,4,NULL,0,False
112502,4780.96,1,5642.00,"","","","56d89261849df73f35ebe513133fe54f.jpg","0x9b72a8bcc245d7a4daf549041f03b0797826abdc","pay_i_617224187723","accepted",NULL,"2026-06-21 06:07:39.276","2026-06-21 08:10:50.472",211316,"","103.78.170.221","",1,4,NULL,0,False
112503,4780.96,1,5641.53,"","","","0363d2635506cfb9ac7641ea5967eeee.jpg","0x09c2c7912c8ad730685599afe0de091fa7396bf0","pay_i_125077798967","accepted",NULL,"2026-06-21 06:21:30.697","2026-06-21 08:11:51.125",211318,"One fraction buy ","103.78.170.221","",1,4,NULL,0,False
112504,4780.96,1,5642.00,"","","","7170641db0339c1aa586abeddb4e15ed.jpeg","0x4128cc99a297eba74c52f84c5fcae0196d20ff02","pay_i_125077940228","accepted",NULL,"2026-06-21 06:22:15.749","2026-06-21 08:12:13.515",211319,"","103.78.170.221","",1,4,NULL,0,False
112505,4780.96,1,5642.00,"","","","97189c0604b7550b2d7994a8a7e79841.png","0xdf65c92d93935333247ca5971c0cc38d1b3d427e","pay_i_581911613223","accepted",NULL,"2026-06-21 06:59:22.722","2026-06-21 08:12:36.978",211321,"Please credit fraction ","103.78.170.221","",1,4,NULL,0,False
112506,23904.81,5,28207.67,"","","","c82fd78963eeaee674d41cf59a95ccb2.jpg","0x3cfb64994d90292279a48e8bace65d4c589a287b","653819732251","rejected","The submitted screenshot is incorrect. Please provide the correct screenshot for verification.","2026-06-21 07:01:56.232","2026-06-21 08:12:51.045",211322,"5 function purchased, add in my account",NULL,"",1,4,NULL,0,False
112507,9561.92,2,11284.00,"","","","3e752771d5d6afb6fae8cb554aa76cb1.jpeg","0x795c52d66b833577428f6bb63c768f8e6b6025c6","pay_i_647480150181","accepted",NULL,"2026-06-21 07:03:18.406","2026-06-21 08:13:13.254",211317,"Paying for Two Fraction Purchage","103.78.170.221","",1,4,NULL,0,False
112508,4780.96,1,5643.00,"","","","d53110b69ded8e979da1e4ff43afba18.jpeg","0x5266b6b8648d81dd86b22d5e8c8c593bfca52fa2","pay_u_653868644276","accepted",NULL,"2026-06-21 07:06:44.04","2026-06-21 08:13:41.159",211324,"One Fraction Purchased","103.78.170.221","",1,4,NULL,0,False
112509,4780.96,1,5643.00,"","","","2cdc92caf60822e87b7f53cb0f484c2a.jpg","0x90c04af7ca36d539ce10e3939c8b3e082e2c231f","pay_i_653822531595","accepted",NULL,"2026-06-21 07:24:17.563","2026-06-21 08:14:00.969",211327,"One Fraction Purchased","103.78.170.221","",1,4,NULL,0,False
